"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Trans_3,Trans_2,Trans_1";"CONN_SD-502352-001_02_MOL";3;"5023520200";;;
2;"J1";"USB_C_Receptacle_GCT_USB4110";1;"USB_C_Receptacle_USB2.0_16P";;;
3;"Boot1,En1";"SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm";2;"SW_Push";;;
4;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"R";;;
5;"Motor_2,Motor_1";"Pololu_Breakout-16_15.2x20.3mm";2;"Pololu_Breakout_DRV8825";;;
6;"Motor2,VoltageDivider1,Motor1";"CONN_SD-502352-001_04_MOL";3;"5023520400";;;
7;"R3,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
8;"J2,J4";"TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm";2;"Screw_Terminal_01x02";;;
9;"tr1,tr2,tr3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"1k";;;
10;"esp_smoothingcaps_1,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100nF";;;
11;"motor1_c1,motor2_c1";"CP_Radial_D6.3mm_P2.50mm";2;"C_Polarized";;;
12;"U3";"TO-252-3_TabPin2";1;"LM1117DT-5.0";;;
13;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
14;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
15;"mosfet1,mosfet2,mosfet3";"TO-92_Inline_Wide";3;"2N7000";;;
16;"J3";"TerminalBlock_MaiXu_MX126-5.0-14P_1x14_P5.00mm";1;"Screw_Terminal_01x14";;;
17;"vd_c3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.01uF";;;
18;"reg_5V_smoothing_caps_out1,reg_3v3_smoother_out1";"CP_Radial_D5.0mm_P2.50mm";2;"10uF";;;
19;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
20;"reg_5V_smoothing_caps_in1,reg_3v3_smoother_in1";"CP_Radial_D6.3mm_P2.50mm";2;"100uF";;;
21;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4001";;;
22;"esp_smoothingcaps_2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"22uF";;;
23;"vd_c4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2.2uF";;;
24;"vd_r1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4.6k";;;
25;"U2";"TO-252-3_TabPin2";1;"LM1117DT-3.3";;;
