Comment,Designator,Footprint,LCSC,Quantity
0.01uF,vd_c2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C123143,1
100,"R_En1,R_boot1",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,2
100nF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,1
100uF,"3v3in1,5Vin1,motorc1,motorc2",CP_Elec_6.3x5.4,C2749,4
10uF,"3v3out1,5Vout1",CP_Elec_4x5.4,C3343,2
1k,"tr1,tr2,tr3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,3
1uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,1
2.2uF,vd_c1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C377773,1
2N7000,"mosfet4,mosfet5,mosfet6",TO-92_Inline_Wide,C9114,3
5.1k,"R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
5023520200,"IO1,IO2,IO3,IO4,input1,mosfet1,mosfet2,mosfet3",CONN_SD-502352-001_02_MOL,C114107,8
5023520400,"Motor1,Motor2",CONN_SD-502352-001_04_MOL,C277598,2
D_Schottky,"D1,D2,D3,Dpower1",D_SMA,C22452,4
ESP32-S3-WROOM-1,U3,ESP32-S3-WROOM-1,C2913197,1
LM1117DT-3.3,U2,TO-252-3_TabPin2,C969102,1
LM1117DT-5.0,U1,TO-252-3_TabPin2,C354068,1
Screw_Terminal_01x02,"power3,power5",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,C5188434,2
TS-1088-AR02016,"Boot1,En1",SW_TS-1088-AR02016,C720477,2
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C5338271,1
4.6k,vd_r1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
