Comment,Designator,Footprint,LCSC,Quantity
0.01uF,vd_c2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,1
100,"R_En1,R_boot1",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17408,2
100nF,"hall2,mccap1",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,2
100nF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233,1
100uF,"3v3in1,5Vin1,motorc1,motorc2",CP_Elec_6.3x5.4,C7469933,4
10uF,"3v3out1,5Vout1",CP_Elec_4x5.4,C3343,2
1k,"R3,R6,tr3",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,3
1uF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,1
2.2uF,vd_c1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C377773,1
22uF,mccap2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C76634,1
4.7k,"R4,R5,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673,3
5.1k,"R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
D_Schottky,"D1,Dpower1",D_SMA,C22452,2
ESP32-S3-WROOM-1,U4,ESP32-S3-WROOM-1,C2913199,1
IRF1324,Q1,TO-220-3_Vertical_GDS,C22357145,1
L7805,U3,TO255P460X1020X2008-3P,C111887,1
LED_RED,"D4,D5",LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C125099,2
LM1117DT-3.3,U2,TO-252-3_TabPin2,C969102,1
PINHD_1x2_Male,"J11,J12,J2,J3",PinHeader_1x02_P2.54mm_Vertical,C5360898,4
PINHD_1x3_Male,J9,PinHeader_1x03_P2.54mm_Vertical,C5360899,1
PINHD_1x4_Male,"J4,J5,J6,J7",PinHeader_1x04_P2.54mm_Vertical,C5116483,4
PINHD_2x4_Male,J8,PinHeader_2x04_P2.54mm_Vertical,C5156679,1
TS-1088-AR02016,"Boot1,En1",SW_TS-1088-AR02016,C720477,2
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C5338271,1
4.7k,vd_r1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,1
Screw_Terminal_01x06,Rails1,TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm,,1
Screw_Terminal_01x02,J10,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,,1
