Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
3v3in1,100uF,CP_Elec_6.3x5.4,145.288,-35.052,180.0,top
3v3out1,10uF,CP_Elec_4x5.4,171.196,-41.148,0.0,top
5Vin1,100uF,CP_Elec_6.3x5.4,178.556,-25.5,180.0,top
5Vout1,10uF,CP_Elec_4x5.4,169.164,-26.0,0.0,top
Boot1,TS-1088-AR02016,SW_TS-1088-AR02016,123.952,-25.908,90.0,top
C1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.5,-63.6125,90.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.5,-63.620185,90.0,top
D1,D_Schottky,D_SMA,167.608,-114.808,0.0,top
D2,D_Schottky,D_SMA,178.784,-115.316,0.0,top
D3,D_Schottky,D_SMA,191.992,-114.808,0.0,top
D4,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,177.659,-38.1,180.0,top
D5,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,182.739,-38.1,180.0,top
Dpower1,D_Schottky,D_SMA,188.436,-33.528,0.0,top
En1,TS-1088-AR02016,SW_TS-1088-AR02016,117.856,-25.908,90.0,top
IO1,5023520200,CONN_SD-502352-001_02_MOL,107.44995,-27.94,-90.0,top
IO2,5023520200,CONN_SD-502352-001_02_MOL,107.44995,-39.116,-90.0,top
IO3,5023520200,CONN_SD-502352-001_02_MOL,107.44995,-50.292,-90.0,top
IO4,5023520200,CONN_SD-502352-001_02_MOL,107.44995,-60.96,-90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,134.0,-25.96,0.0,top
Motor1,5023520400,CONN_SD-502352-001_04_MOL,195.826049,-90.424,90.0,top
Motor2,5023520400,CONN_SD-502352-001_04_MOL,195.037849,-69.5,90.0,top
R1,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.0,-32.5,-90.0,top
R2,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138.5,-34.0,-90.0,top
R3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,179.816,-35.56,180.0,top
R4,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,182.864,-40.64,0.0,top
R_En1,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.856,-31.48,90.0,top
R_boot1,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.952,-31.988,-90.0,top
Rails1,Screw_Terminal_01x06,TerminalBlock_MaiXu_MX126-5.0-06P_1x06_P5.00mm,127.12,-123.952,0.0,top
U1,LM1117DT-5.0,TO-252-3_TabPin2,170.34,-33.5,180.0,top
U2,LM1117DT-3.3,TO-252-3_TabPin2,157.304,-34.544,180.0,top
U4,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,143.37,-72.022,0.0,top
input1,5023520200,CONN_SD-502352-001_02_MOL,189.489999,-24.564949,180.0,top
mccap1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,131.572,-63.5215,90.0,top
mccap2,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,128.524,-63.6125,90.0,top
mosfet1,5023520200,CONN_SD-502352-001_02_MOL,166.672,-122.654049,0.0,top
mosfet2,5023520200,CONN_SD-502352-001_02_MOL,180.172,-122.563049,0.0,top
mosfet3,5023520200,CONN_SD-502352-001_02_MOL,193.22,-122.462049,0.0,top
mosfet4,HD2305,SOT-23,169.672,-107.2665,180.0,top
mosfet5,HD2305,SOT-23,180.914,-107.696,180.0,top
mosfet6,HD2305,SOT-23,194.056,-107.2665,180.0,top
motorc1,100uF,CP_Elec_6.3x5.4,184.912,-78.74,-90.0,top
motorc2,100uF,CP_Elec_6.3x5.4,196.844,-38.608,180.0,top
power3,Screw_Terminal_01x02,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,146.562,-23.4005,180.0,top
power5,Screw_Terminal_01x02,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,159.262,-23.4005,180.0,top
tr1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,191.5,-102.108,0.0,top
tr2,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,178.8,-101.188,0.0,top
tr3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,167.624,-101.092,0.0,top
vd_c1,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.272,-102.6375,90.0,top
vd_c2,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.8495,-100.076,180.0,top
vdo1,5023520200,CONN_SD-502352-001_02_MOL,148.844,-122.166049,0.0,top
