Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"3V3IN1, 5VIN1, MOTORC2",CP_Elec_6.3x5.4,3,100uF,C7469933
"3V3OUT1, 5VOUT1",CP_Elec_4x5.4,2,10uF,C3343
"BOOT1, EN1",SW_TS-1088-AR02016,2,TS-1088-AR02016,C720477
C1,0805,1,1uF,C28323
C2,0805,1,100nF,C28233
"D1, DPOWER1",D_SMA,2,D_Schottky,C22452
"D4, D5",0603,2,LED,C125099
FAN1,CONN4_B4B-PH_JST,1,PC_Fan,C566011
HALL1,CONN_B3B-PH-K-SLFSN_JST,1,Hall_Sens,C131339 
"HALL2, MCCAP1",0805,2,100nF,
HB1,JST_B6B-PH-K-S,1,B6B-PH-K-S,C495261
"HB2, INPUT1, MOS1, THERM1",JST_B2B-PH-K-S,4,B2B-PH-K-S,C5251182
I2C1,CONN4_B4B-PH_JST,1,MCP9600,C566011
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C5337088
MCCAP2,0805,1,22uF,
MOSFET4,SOT-23,1,HD2305,C466664
MOTOR1,CONN4_B4B-PH_JST,1,Motor1,C566011
MOTOR2,CONN4_B4B-PH_JST,1,Motor2,C566011
MOTORC1,CP_Elec_6.3x5.4,1,100uF,C2749
"R1, R2",0805,2,5.1k,C27834
"R3, R6",0805,2,1k,
"R4, R5, R7",0805,3,4.7k,
"R_BOOT1, R_EN1",0805,2,100,C17408
TR3,0805,1,1k,C17513
U2,TO-252-3_TabPin2,1,LM1117DT-3.3,C969102
U3,TO255P460X1020X2008-3P,1,L7805,C111887
U4,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913199
VD_C1,0805,1,2.2uF,C377773
VD_C2,0805,1,0.01uF,C1710
