Designator,Mid X,Mid Y,Rotation,Layer
_4,145.5928,-113.538,0.0,top
_3,38.1,-80.264,0.0,top
_2,145.5928,-80.4164,0.0,top
,38.1,-113.538,0.0,top
3V3IN1,90.678,-100.33,0.0,top
3V3OUT1,108.186,-89.488,270.0,top
5VIN1,80.772,-90.678,90.0,top
5VOUT1,92.456,-86.106,0.0,top
BOOT1,144.8,-88.8,0.0,top
C1,142.8144,-80.9459,90.0,top
C2,140.6144,-80.9459,90.0,top
D1,79.756,-107.22,270.0,top
D4,106.567,-80.264,180.0,top
D5,88.251,-75.946,180.0,top
DPOWER1,84.804,-82.042,180.0,top
EN1,144.8,-85.0,0.0,top
FAN1,138.026399,-114.1476,180.0,top
HALL1,126.593601,-114.3,0.0,top
HALL2,126.746,-107.188,0.0,top
HB1,104.982,-114.554,0.0,top
HB2,118.38,-114.3,0.0,top
I2C1,146.089,-104.5718,270.0,top
INPUT1,81.804,-74.422,180.0,top
J1,98.866,-76.538,180.0,top
MCCAP1,116.848,-80.909,90.0,top
MCCAP2,113.8,-81.0,90.0,top
MOS1,81.7024,-113.9444,0.0,top
MOSFET4,85.344,-107.696,0.0,top
MOTOR1,39.116,-105.615999,90.0,top
MOTOR2,39.37,-89.613999,90.0,top
MOTORC1,49.022,-107.442,90.0,top
MOTORC2,49.022,-90.164,90.0,top
R1,96.186,-82.988,180.0,top
R2,107.6612,-83.3628,0.0,top
R3,110.22,-80.264,180.0,top
R4,141.7828,-100.8888,90.0,top
R5,141.6812,-104.9368,90.0,top
R6,88.122,-78.232,0.0,top
R7,135.3312,-104.4288,90.0,top
R_BOOT1,140.0,-89.2,270.0,top
R_EN1,140.2,-85.0,90.0,top
THERM1,91.0176,-114.5032,0.0,top
TR3,89.408,-108.966,270.0,top
U2,101.1135,-90.828,270.0,top
U3,91.196,-92.71,0.0,top
U4,128.5,-85.54,0.0,top
VD_C1,103.886,-104.902,90.0,top
VD_C2,94.488,-108.458,180.0,top
